from;a35;a36;ca1;ca3;dg;lea;mea;pas;por;prs;sub
a35;3, 178;3;132, 167;n/a;n/a;2, 3;2, 178;167;167, 178;167;132, 167
a36;3, 178;3;167;167;167;2, 3;2, 3;167;2, 3, 167;167;167
ca1;100, 150, 167, 178;150, 167, 178;26, 102, 108, 109, 150, 231;26, 150, 174, 122;102, 150;24, 100, 131, 150, 155, 186, 217;11, 24, 100, 102, 131, 150, 155, 178, 186;11, 102, 126, 150;167, 178;11, 102, 125, 155;26, 100, 102, 108, 109, 124, 131, 150, 186, 222, 231, 238
ca3;167;167;23, 100, 109, 144, 154, 155, 173, 174, 180, 182, 195, 231, 242, 243;23, 100, 144, 145, 154, 155, 174, 180, 182, 231, 242, 243, 246;100, 144, 174, 180, 182, 243;100, 186;11, 100, 148, 155;11, 102, 126, 155;167;11, 100, 155;100, 121, 144, 155
dg;167;167;174, 231, 242;34, 35, 174, 100, 121, 130, 145, 175, 231;94, 121, 130, 173, 174, 182, 222, 242;n/a;n/a;n/a;167;n/a;n/a
lea;2, 3, 5;2, 3, 5;4, 5, 13, 21, 24, 33, 106, 131, 166, 187, 190, 193, 195, 247;5, 13, 21, 24, 25, 106, 166, 187, 190;4, 5, 7, 13, 24, 25, 106, 130, 139, 166,187, 190, 207, 228, 247;7, 21, 31, 138, 207;3, 21, 31, 138, 183, 190;5, 21, 31, 166, 183, 190;2, 166;5, 21, 166, 190;4, 5, 7, 13, 21, 24, 131, 166, 187, 190, 193, 207, 247
mea;2, 3, 31;2, 178;11, 24, 31, 106, 131, 166, 187, 190, 193, 195, 207;11, 24, 25, 31, 106, 131, 166, 187, 190, 195;4, 6, 11, 24, 25, 106, 126, 130, 131, 139, 166, 187, 190, 195, 207, 228;31, 138, 190;31, 138, 178, 207, 216;31, 126, 166, 190, 207;2, 166, 178;31, 114, 134, 166, 190, 195, 207;24, 31, 131, 166, 187, 190, 193, 195, 207, 211
pas;167;167;11, 29, 30, 126;11, 30;11, 29, 30;30, 32, 114, 183;30, 32, 126, 178, 183, 248;30, 183;167, 178;125, 126;29, 126
por;3, 167;2, 3, 167;167, 211;167;167;2, 3;2, 116;167;3, 167;67;167, 211
prs;167;167, 178;11, 29,30;11, 30;11, 29, 30;114, 125;30, 32, 144, 126, 135, 178, 183, 186, 192, 213, 215, 230, 232, 248;30, 125, 126, 183;167, 178;30, 114, 125, 126, 135, 192, 213;29, 30, 126, 186
sub;167, 178;167, 178;30, 109;30;30;24, 30, 155, 186, 189, 191, 196, 217, 219, 248;24, 30, 155, 178, 186, 189, 191, 196, 219, 248;30, 126, 196;167, 178, 196, 217;30, 125, 126, 189, 191, 196, 217;30, 109, 217
